"Sharkey, Matthew",2.8,50%,3.3
"Ross, Karen",0.0,N/A,0
"Edwards, Nathan",3.3,100%,3.1
"Hahn, William",4.5,100%,1.9
"Fox, Jennifer",4.1,88%,2.7
"Chan, Mun",4.5,100%,1
"Elmendorf, Heidi",4.7,84%,3.9
"Coate, Thomas",4.0,67%,4
"Floyd, Jeanetta",0.0,N/A,0
"Audette, Dylan",0.0,100%,0
"Patten, Manus",4.3,97%,3.3
"Rosenwald, Anne",4.2,75%,3.8
"Brinsmade, Shaun",1.5,8%,4.1
"Rolfes, Ronda",2.8,53%,3.7
"Bennett, Shauna",3.5,100%,3
"Isaac, Daniel",4.4,88%,3.3
"Newfield, Timothy",4.5,94%,3.2
"Parker, Michael",0.0,N/A,0
"Dzakpasu, Rhonda",4.8,50%,2
"Singer, Steven",0.0,N/A,0
"Maguire-Zeiss, Kathleen",4.5,100%,4
"Cote, Paul",3.5,50%,3.2
"Loffredo, Christopher",5.0,100%,2
"Dash, Chiranjeev",4.0,100%,2
"Peshkin, Beth",5.0,100%,4
"Neale, Joseph",3.4,50%,4
"Huang, Jeffrey",5.0,100%,2
"Wimp, Gina",4.0,72%,3.2
"Hamilton, Matthew",2.5,100%,3.9
"Bansal, Shweta",5.0,100%,4
"Cervantes Sandoval, Isaac",0.0,100%,0
"Shepard, Blythe",4.7,100%,3.3
"Theos, Alexander",4.3,100%,3.9
"Mann, Janet",3.4,50%,3.1
"Silva, Elena",0.0,100%,0
"Ries, Leslie",2.7,34%,3
"Weiss, Martha",2.6,45%,3.4
"Armbruster, Peter",3.5,50%,3.3
"Rose, Mark",0.0,100%,0
"Marra, Peter",4.5,89%,1.8
"Johnson, Sarah",4.9,100%,2.5
"van Doorn, Angela",4.8,100%,2
"Helm, Rebecca",5.0,100%,3
"Fischer, Julie",4.5,70%,3.5
"Korostyshevskiy, Valeriy",0.0,N/A,0
"Li, Xin",0.0,N/A,0
"Dragomir, Anca",3.5,64%,2.7
"Fang, Hongbin",0.0,N/A,0
"Tan, Ming",5.0,100%,2
"Donahue, Robert",1.0,0%,4
"Kisailus, Edward",3.8,100%,2.9
"Goodstein, Ronald",4.3,86%,2.5
"Bies, Robert",4.6,92%,2
"Dong, Arthur",4.1,63%,2.4
"Ernst, Ricardo",3.0,63%,3.4
"Logg, Jennifer",2.5,28%,3.7
"Cypher, Matthew",4.0,84%,2.5
"Reid, Jeffrey",5.0,100%,2.5
"Lovegrove, Nicholas",4.1,100%,2.6
"Sherman, Eliot",3.0,0%,3.5
"Dupont, Quentin",5.0,80%,4
"Schloetzer, Jason",4.5,100%,3.6
"Smith, Justin",5.0,100%,1.5
"Pacheco, Rachel",5.0,100%,2
"Chauvin, Jasmina",2.3,58%,2
"Hasnas, John",2.4,100%,3.3
"Washington, Ella",3.4,67%,2.8
"Rivoli, Pietra",4.1,N/A,2.9
"Zafari, Babak",4.5,86%,3.1
"Mayo, John",3.1,100%,3.6
"Annan, Anthony",0.0,100%,0
"Collins, David",4.2,95%,3.5
"Stiefel, Jeffrey",3.0,59%,3.8
"Stoll, Sarah",2.4,100%,3.6
"Bertke, Michelle",4.6,100%,1.9
"Itani, Mohammad",3.7,84%,3.3
"Zimerman, Oscar",1.0,46%,2.7
"Glick, Diana",4.2,79%,2.5
"de Dios, Angel",2.0,100%,4
"Presores, Janeth",2.1,43%,3.3
"Davis, Ronald",3.1,60%,3.5
"Holman, Kevin",3.2,56%,4.6
"Shahu, Milena",2.8,86%,4
"Braselmann, Esther",0.0,N/A,0
"Hahm, Jong-in",2.5,34%,2.7
"Swift, Jennifer",3.4,67%,3.8
"Wolf, Christian",3.0,100%,3.9
"Knope, Karah",3.2,34%,3.4
"Metallo, Steven",3.3,80%,4
"Weiss, Richard",2.7,34%,4.6
"Tong, YuYe",2.8,N/A,3
"Roepe, Paul",2.4,50%,4.3
"Ichiye, Toshiko",2.9,100%,2.8
"Maillard, Rodrigo",4.5,100%,4
"Yang, Yu-Sheng",4.6,93%,3.4
"Wang, Peng",4.7,100%,2.3
"Wang, Sicheng",0.0,100%,0
"Qi, Di",4.4,85%,3.2
"Yu, Chao",5.0,100%,2
"Yu, Pei-Shan",5.0,100%,3.1
"Kafalas, Philip",4.0,100%,3
"Ren, Fei",4.5,100%,2.6
"Shernuk, Kyle",0.0,N/A,0
"Osgood, Josiah",4.7,100%,2.5
"Catenaccio, Claire",5.0,100%,3.5
"McNelis, Charles",4.7,100%,3.3
"Merritt, Andrew",4.0,100%,4
"Haynes, Justin",4.8,100%,2.8
"Sens, Alexander",4.7,100%,3.9
"Dull, David",3.3,100%,3
"Herold, Mary",2.7,34%,3.3
"Buckley, Bryan",5.0,N/A,4
"Miller, Kristen",4.9,N/A,2.2
"Vittone, Sarah",3.4,100%,2.5
"Turner, Jeanine",4.1,84%,3.1
"Koliska, Michael",0.0,N/A,0
"Bode, Leticia",3.0,N/A,3.5
"Seng-White, Erica",3.7,75%,3.2
"McDonald, Mark",4.1,N/A,2.2
"Campbell, Tyrel",2.7,N/A,3.2
"Barba, Evan",4.0,100%,3
"Matthews, Robert",4.6,100%,2.9
"Macovski, Michael",3.4,N/A,2.8
"Bedford, Denise",3.0,N/A,1.5
"Wilson, Christine",3.9,75%,3.9
"Buffum, Philip",3.0,62%,3
"Woods, W.",4.8,N/A,1
"Essick, Raymond",3.9,73%,3.3
"Montgomery, Jami",2.6,32%,3.5
"Velauthapillai, Mahendran",3.8,87%,3.2
"Fineman, Jeremy",5.0,100%,4.2
"Sherr, Micah",4.6,100%,2.4
"Squier, Richard",3.8,75%,2.9
"Shields, Thomas",4.0,100%,3
"Kalyanasundaram, Bala",3.1,40%,4.1
"Yang, Grace",3.0,56%,3.8
"Goharian, Nazli",2.6,37%,4.1
"Newport, Calvin",4.5,90%,3.7
"Singh, Lisa",3.6,38%,3.9
"Ujcich, Benjamin",0.0,N/A,0
"Chandler, Katherine",5.0,N/A,2.4
"Goswami, Supriya",4.4,100%,2
"Oruc, Firat",4.8,100%,1.5
"Sonbol, Amira",4.1,67%,2.5
"Pirrotti, Anthony",4.9,N/A,1.3
"Almond, Ian",0.0,N/A,0
"Koons, Jeremy",4.3,100%,2.7
"Hickman, James",5.0,100%,1
"Jacobs, Jeffrey",4.8,100%,2
"Padalkar, Nakul",4.5,90%,2.7
"Bolton, Jeremy",3.9,75%,3.7
"Gamage, Purna",0.0,N/A,0
"Larson, Chris",0.0,N/A,0
"Arora, Amit",4.8,N/A,1.5
"Vaisman, Marck",1.2,0%,4.6
"Dasgupta, Abhijit",3.3,100%,3
"Zahadat, Nima",4.3,N/A,2.8
"Evans, Brian",2.5,N/A,3.3
"Kerr, Michael",4.7,100%,2.8
"Miller, Rory",4.8,100%,2.5
"Ferris, Elizabeth",4.3,100%,3
"Joshi, Shareen",4.5,87%,3
"Schneider, Cynthia",2.9,67%,1.7
"Brown, Lydia",3.7,84%,1.3
"Rifkin, Libbie",4.4,89%,2.8
"Burk, David",4.4,99%,3
"Garcia Couto, Santiago",0.0,N/A,0
"Cobo Reyes Cano, Ramon",5.0,100%,4
"Ostry, Jonathan",3.0,100%,3.1
"Diba, Behzad",3.8,67%,2.9
"Schwartz, Marius",2.9,83%,3.9
"Genicot, Garance",3.0,56%,4
"Cao, Dan",2.8,50%,3.5
"Reischer, Margit",3.2,72%,4
"Huggett, Mark",3.0,50%,3.4
"Solow, Benjamin",2.9,80%,4.3
"Bester, Alan",4.6,98%,4.2
"Verma, Rubina",3.3,68%,3.3
"Wilber, Pinar",3.5,64%,3.1
"McCornac, Dennis",5.0,100%,3.3
"Hasanov, Fuad",3.4,81%,3.7
"Austin, Wes",4.5,100%,3.5
"Parthum, Bryan",5.0,100%,3.7
"Hamza, Ali",0.0,N/A,0
"Bronson, Mary",5.0,100%,1.5
"Laage, Louise",3.0,100%,4
"Madigan, Brian",3.0,50%,2.5
"Anderson, Axel",3.2,69%,3.3
"Chambers, Christopher",3.0,34%,3
"Chang, Minsu",4.9,100%,4
"Poirier, Alexandre",4.0,100%,3
"Vella, Francis",2.1,N/A,4.5
"Bouton, Laurent",3.0,0%,4
"Ko, Ami",5.0,100%,2
"Ludema, Rodney",3.6,45%,3.4
"Ghebreab, Nardos",5.0,100%,2
"Wesley-Nero, Sabrina",2.2,20%,3.6
"Steffen, Heather",4.3,100%,3.5
"Ortiz, Ricardo",4.8,100%,2.8
"Hensley, Nathan",4.8,92%,2.7
"Perlow, Seth",3.7,80%,2.1
"Carozza, Davide",0.0,100%,0
"Bump, Nathaniel",5.0,100%,3
"Parsons, Coilin",4.4,100%,3.3
"Barnett, Mary Jane",3.8,77%,2.8
"LeRoy, Tamar",5.0,N/A,1.3
"Wu, Duncan",4.9,100%,3.3
"Chander, Manu",4.4,100%,2.9
"Rizzuto, Nicole",4.8,100%,4
"Frampton, Edith",4.6,93%,2.7
"Boylan, Rebecca",3.8,82%,3.5
"El-Amine, Zein",5.0,100%,2
"Shinn, Christopher",4.4,95%,2.3
"Gorman, Ellen",4.5,93%,1.4
"Morrison, Amani",1.5,0%,3
"Lee, Peggy",0.0,N/A,0
"Fox, Pamela",4.2,67%,2.8
"Schotland, Sara",4.6,100%,1.8
"Cole, Kelly",4.7,100%,2.5
"Phillips, Amanda",0.0,N/A,0
"Fink, Jennifer",4.5,100%,2.4
"Bosco, Mark",4.4,100%,2.4
"Fuisz, Lisbeth",4.2,87%,2.2
"McMorris, Mark",2.8,40%,3.2
"Glavin, John",3.2,78%,4
"Hirsh, John",4.3,100%,1.7
"Hochman, Brian",4.1,67%,3
"Corrigan, Maureen",3.3,75%,2.8
"Benson-Allott, Caetlin",4.7,67%,2.6
"So, Christine",4.0,90%,3.3
"Temple, Kathryn",4.0,100%,2.9
"Shore, Daniel",4.3,60%,2.9
"Stanga, Jane",5.0,N/A,5
"Agrawal, Vishal",4.6,100%,3
"Griffiths, Brian",4.5,100%,3
"Guthrie, William",4.1,N/A,1.3
"Walsh, Edward",0.0,N/A,0
"Amster, Randall",4.6,92%,2.1
"Moulton, Orissa",4.5,100%,3
"Della Volla, Wesley",0.0,N/A,0
"Wei, Cynthia",3.7,66%,3.9
"Danner-McDonald, Kerry",3.6,80%,2.9
"Kamrad, Bardia",4.0,100%,4.4
"McDermott, Michael",3.4,50%,2.6
"Peck, Jeffrey",4.4,N/A,3
"Desai, Raj",3.9,69%,3.3
"Nollen, Stanley",4.0,0%,2.9
"Weymouth, Stephen",3.8,67%,2.8
"Macher, Jeffrey",0.0,N/A,0
"Almeida, Paul",4.9,N/A,3.8
"Jaworski, Peter",3.5,80%,3.1
"Wathieu, Luc",4.5,91%,2.4
"Gilad, Shye",0.0,100%,0
"Holladay, James",3.2,67%,4.3
"Britton, Robert",4.1,91%,3.4
"Berry, Heather",5.0,100%,2.2
"Bruno, Melissa",5.0,N/A,5
"Orsitto, Fulvio",4.4,N/A,1.6
"Sitney, Rebecca",4.8,100%,1.5
"Gao, Janet",4.0,100%,3
"Wen, Quan",3.3,64%,3.2
"Bai, Jennie",2.9,55%,3.6
"Zhao, Xiaofei",4.3,100%,3
"Nagel, Kelly",0.0,N/A,0
"Musalem, Alberto",0.0,100%,0
"Crawford, Edward",3.8,50%,3.5
"Aggarwal, Reena",4.5,100%,4
"Smith, Rory",3.0,67%,3.5
"Dahiya, Sandeep",4.9,100%,3.5
"Pinkowitz, Lee",4.5,75%,4.4
"Comer, George",4.0,67%,3
"Foster, Jeffrey",3.5,N/A,2.3
"Wilkinson, John",4.2,N/A,2.5
"Gupta, Arun",3.0,0%,4
"Angel, James",2.9,50%,3.4
"Emmitte, Aaron",4.8,95%,2.5
"Cohen-Scali, Stella",2.4,25%,3.8
"Janssens, Peter",5.0,100%,1.5
"Twohig, Erin",4.5,100%,2.6
"Sanderson, Jason",0.0,N/A,0
"Spielmann, Guy",3.0,40%,2.7
"Mirsharif, Zohreh",3.3,73%,3.5
"Daumas, Guillaume",3.2,75%,3.9
"Durmelat, Sylvie",4.4,100%,3.3
"Young, Paul",4.1,100%,2.3
"Erradi, Nezha",4.2,92%,2.6
"Webel, Alissa",4.8,94%,3.3
"Smorodinsky, Iris",4.6,94%,1.8
"Johnson, Joseph",5.0,100%,3
"Grand Favre, Christine",0.0,100%,0
"Boum Make, Jennifer",4.3,92%,3.5
"Andrade, Amandine",4.5,93%,3
"Le Guelte, Johann",4.8,80%,2.8
"Santoro, Milena",4.2,63%,3.8
"Bridaa, Boutheina",4.4,96%,2.5
"Tissot, Damien",5.0,100%,3.5
"Sobanet, Andrew",4.2,91%,3.6
"Lee, Susanna",4.2,86%,2.6
"Simpson, Sally",2.6,0%,3.8
"Banchoff, Anja",4.5,77%,2.9
"Potter, John",3.6,100%,3.7
"Dougherty, Cooper",5.0,100%,1
"Weigert, Astrid",4.2,100%,2.8
"Kick, Verena",5.0,100%,2
"Speggiorin, Maria",5.0,100%,3
"Dupree, Mary",0.0,N/A,0
"Sieg, Katrin",2.7,0%,4
"Eigler, Friederike",2.5,50%,3.4
"Zimmer, Thomas",5.0,100%,4
"Wolf, Holger",3.7,N/A,1.4
"Newman, Abraham",4.9,100%,2.3
"Mushaben, Joyce",3.2,0%,4.5
"Anderson, Jeffrey",5.0,100%,2.3
"Klein, Christopher",4.8,N/A,1.8
"Pireddu, Nicoletta",4.1,100%,3.3
"Denischenko, Irina",0.0,100%,0
"Ganapati, Sharat",4.0,100%,3
"Murphy, Dale",4.5,80%,4.3
"Busch, Marc",3.9,75%,4.2
"Conway, Thomas",4.7,100%,1.7
"Novelli, Catherine",5.0,100%,4
"Senyuz, Eylem",3.0,100%,1
"King, Robin",3.9,50%,3
"Wheeler, Jeffrey",4.0,0%,2
"Wahid, Shabab",0.0,N/A,0
"Vuckovic, Myriam",4.0,88%,2.6
"Jarawan, Eva",0.0,N/A,0
"Wu, Zeng",5.0,100%,4
"Baker, Margaret",2.4,N/A,3.4
"Galan, Deise",0.0,N/A,0
"Quattrochi, John",5.0,100%,4
"Bruce, Kerry",3.8,69%,3.2
"Turbat, Vincent",1.7,34%,4.3
"Liese, Bernhard",2.8,N/A,3
"Radelet, Steven",4.3,N/A,2.7
"Udomsaph, Charles",3.6,67%,3
"Lane, Sarah",4.8,N/A,2
"Apter, Felice",1.0,0%,3
"Nelson, Martha",1.7,N/A,4.5
"Katz, Rebecca",3.7,N/A,2
"Hartman, Joseph",4.9,100%,2.8
"Langenbacher, Eric",3.6,74%,3.1
"Carnes, Matthew",4.3,64%,3.9
"Sigillo, Ester",5.0,100%,3
"Schlickenmaier, William",4.4,97%,3.4
"Nexon, Daniel",3.6,80%,2.9
"Fisher, Mark",4.3,100%,3.2
"Thomas, Martha",3.8,67%,3.9
"Howard, Marc",4.1,100%,3.2
"Swers, Michele",4.2,96%,3
"Bailey, Michael",4.2,80%,3.3
"Kroenig, Matthew",3.8,78%,2.8
"Slaski, Alexander",2.4,100%,2.4
"Iroulo, Lynda",0.0,N/A,0
"Grimm, Elizabeth",5.0,100%,3.2
"McMorrow, Marilyn",2.9,54%,3.4
"Girod, Desha",4.9,100%,3
"Simmons, Joel",3.1,74%,3.9
"Kapiszewski, Diana",4.3,84%,4.1
"Howard, Lise",3.9,78%,3.2
"White, J.",3.7,N/A,2.2
"Bennett, Andrew",3.4,53%,3.3
"Kupchan, Charles",4.1,N/A,3
"Glass, James",3.5,N/A,3
"Birdsall, Judd",4.0,100%,2
"Gibson, Andrew",3.5,0%,3
"McSweeney, Patrick",4.0,100%,4
"Cammisa, Anne",5.0,50%,3
"Kamrava, Mehran",0.0,100%,0
"Brumberg, Daniel",1.9,0%,3.3
"King, Stephen",2.8,84%,1.7
"Lord, Jeffrey",0.0,100%,0
"Lotrionte, Catherine",3.9,100%,2.6
"Mitchell, Joshua",3.3,56%,3.1
"Richardson, Mark",2.8,25%,4
"Scott, Jamil",4.0,75%,1.7
"Grant, Daniel",5.0,100%,2
"Oakley, Alysson",2.0,N/A,5
"Skendaj, Elton",4.9,N/A,1.8
"Joseph, Brian",4.6,100%,2.6
"Fischer, Jeffrey",3.2,N/A,4.1
"King, Charles",4.2,77%,3.5
"Shah, Aqil",4.7,100%,3.4
"Collin, Katherine",5.0,N/A,2.3
"Edelstein, Lauren",0.0,N/A,0
"Stephens, Nate",3.4,65%,3.7
"Stanley, Elizabeth",4.7,N/A,2.7
"Orellana, Ayse",3.2,0%,3.1
"Inman, Molly",5.0,100%,2
"Balcells, Laia",5.0,100%,2.7
"Hall, William",0.0,N/A,0
"Ross, Lynn",4.3,100%,2.4
"Cherniss, Joshua",3.8,76%,3.2
"Williams, Aaron",0.0,N/A,0
"Brown, Nadia",4.0,N/A,2.5
"Nooruddin, Irfan",1.9,18%,4.3
"McNamara, Kathleen",4.2,100%,2.5
"Arend, Anthony",4.8,100%,2.7
"Stimson, Shannon",3.0,100%,4
"Eich, Stefan",4.1,84%,3
"Lamb, Ismini",4.8,100%,2.2
"Cobb, Nathan",5.0,100%,2
"Rappaport, Steven",3.2,100%,3.9
"Kunz, Lauren",2.5,0%,4
"Zhang, Yili",0.0,N/A,0
"Alrimawi, Intima",4.2,89%,3.5
"Friedland, Robert",3.9,67%,2.8
"Riley, Joan",4.9,100%,2.6
"Nahabedian, Anissa",0.0,100%,0
"Coleman, Susan",4.6,N/A,2.3
"Leland, Kari",5.0,100%,2
"Jibrin, Janis",5.0,100%,2.5
"Suh, Ryung",4.0,100%,2
"Horak, Bernard",4.7,100%,1.6
"Huang, Sean",4.5,88%,2.2
"Kraemer, John",4.8,100%,3.4
"Kim, Daniel",3.6,91%,2.3
"Downing, Gregory",5.0,100%,3
"Gollu, Gultekin",4.0,100%,4
"Chaudhry, Saad",0.0,100%,0
"Myers, Adam",3.7,N/A,3.6
"Chentsova Dutton, Yulia",3.6,80%,2.9
"Grayson, Sara",3.7,70%,2.4
"Orr, Meital",4.5,90%,3.6
"Abi-Mershed, Osama",3.8,43%,3.3
"Loza, Mireya",4.2,N/A,2.3
"McCann, Bryan",4.3,100%,2.6
"Pinkard, Susan",3.4,75%,2.9
"Roshwald, Aviel",3.6,75%,3.2
"Burnham, Jakob",3.0,100%,2
"Games, Alison",3.5,78%,4.1
"Wall, Michael",3.9,97%,2.8
"Degroot, Dagomar",4.3,84%,3.2
"Gao, Yuan",2.8,N/A,3.4
"Shedel, James",2.6,39%,3.7
"Astarita, Tommaso",4.0,66%,3.7
"Tutino, John",2.4,30%,3.9
"Agoston, Gabor",3.2,63%,2.9
"Sbaiti, Nadya",3.6,N/A,4.3
"Afinogenov, Gregory",3.6,72%,3.1
"Stolarski, Christopher",4.0,83%,3.5
"Ray, Jonathan",4.2,87%,3
"Zimmers, Stefan",4.0,77%,3.5
"Kolla, Edward",3.1,50%,3.9
"Higuchi, Toshihiro",4.5,91%,3.3
"Jackson, Maurice",2.2,25%,3.5
"Kazin, Michael",4.3,82%,3.2
"Douma, Michael",1.0,67%,4
"Collins, James",3.8,84%,3.6
"Gannon, Darragh",5.0,100%,3
"Langer, Erick",3.3,90%,3.2
"Cross, Elizabeth",4.8,100%,3.3
"Chakravarti, Ananya",3.0,43%,4
"McKittrick, Meredith",4.1,100%,3.4
"Benton-Cohen, Katherine",4.0,100%,2.6
"Leonard, Amy",4.6,85%,3.3
"Manning, Chandra",3.7,80%,4.3
"Walther, Karine",4.5,100%,5
"Millward, James",3.7,43%,3.4
"Rothman, Adam",4.4,93%,2.8
"Aksakal, Mustafa",4.5,93%,3.4
"David-Fox, Michael",3.5,89%,3.5
"Nelson, Theodore",4.6,95%,4
"Lee, Andrew",4.7,95%,1.4
"Garman, Joseph",3.5,48%,4
"Cohen-Derr, Erika",0.0,N/A,0
"Day, Carol",5.0,100%,1
"LaRocque, Jeannine",5.0,N/A,3
"Campbell, Lee",2.3,N/A,4
"Partridge, John",4.4,100%,3
"Furlong, Mary",4.3,N/A,4
"Watson, Lewis",3.5,N/A,2.5
"Barr, Rachel",3.7,100%,2.8
"Marsh, Abigail",4.6,87%,3.3
"Cline, Erin",4.7,97%,2.2
"Fields, Corey",4.8,100%,2.7
"Ciabattoni, Francesco",4.4,100%,3.2
"Withy, Katherine",4.1,78%,3.7
"Evans, Christine",5.0,100%,2.3
"Lu-Adler, Huaping",3.4,72%,3.8
"Heck, Paul",3.7,34%,3.6
"Elie, Paul",4.5,94%,3.6
"Kessler, Michael",3.6,50%,3.1
"Ryan, Michael G.",5.0,100%,2.9
"Stilwell, Robynn",3.5,67%,3.1
"Cook, Bernard",4.0,100%,2
"Giordano, Mark",4.6,95%,1.9
"Berlinerblau, Jacques",4.0,70%,3.8
"Veeraraghavan, Rajesh",0.0,N/A,0
"Voeten, Erik",4.8,100%,2.8
"Marshall, Katherine",3.6,67%,2.7
"Ungar, Sanford",0.0,N/A,0
"Hrebenak, Keith",4.2,100%,4.5
"Sommer, Anna",5.0,100%,3
"Khoja-Moolji, Shenila",4.8,N/A,2.5
"Garrett, Amanda",5.0,N/A,3
"Hill, Brendan",4.6,N/A,2.4
"Brown-Fleming, Suzanne",0.0,N/A,0
"Ebenbach, David",4.6,100%,2.5
"Soltes, Ori",4.1,75%,2
"Wagner, Christian",3.0,58%,2.8
"Craig, Ryann",5.0,100%,3
"Pletka, Danielle",3.7,84%,3.3
"Desbois, Patrick",0.0,100%,0
"Ware, Jacob",0.0,100%,0
"Lincoln, Jonathan",5.0,100%,2
"Patel, Parina",3.7,74%,2.7
"Lawler, Brian",1.7,0%,3.1
"Bodine, Barbara",5.0,100%,5
"Ross, Dennis",3.7,34%,2.5
"Schiwietz, Christine",4.1,N/A,1.8
"Boesen, Elizabeth",1.0,0%,3
"Kelly, Edward",3.8,58%,3.2
"Neal, David",3.5,60%,3.7
"Kennedy, Joseph",3.0,N/A,3
"Donato, Katherine",4.5,N/A,2
"Miller, Sarah",4.6,N/A,3.4
"Gordon, John",5.0,100%,1
"Pollack, Kenneth",5.0,100%,4
"Joe, Wesley",0.0,N/A,0
"Al Azm, Amr",4.6,75%,2.5
"Pierce, Albert",5.0,100%,3.3
"Nagel, Robert",3.0,40%,3.1
"Strzok, Peter",0.0,N/A,0
"Hurley, Erin",0.0,N/A,0
"Wheat, Treston",4.3,100%,2.3
"Rosenberg, Chuck",5.0,100%,4
"Kauppi, Mark",4.8,100%,3.6
"Chandra, Uday",5.0,100%,3.5
"Melucci, Donatella",4.8,100%,2.6
"Tosi, Giuseppe",3.9,80%,2.1
"Musti, Fulvia",4.1,91%,2.5
"Cicali, Gianni",4.3,80%,2.2
"Sato, Kumi",5.0,100%,2.5
"Omori, Motoko",4.9,100%,1.9
"Mori, Yoshiko",4.2,84%,3.8
"Doak, Kevin",4.1,96%,3.1
"Schaefer, Daniel",4.1,100%,1.6
"Oldenburg, Ann",4.8,94%,2.6
"Ahmed, Saeed",5.0,100%,3
"Albergo, Paul",5.0,100%,3
"Jenkins, Anthony",5.0,100%,1.2
"Atashi, Elham",4.2,89%,3.2
"Huisman Lubreski, Kimberly",5.0,100%,3
"McCarthy, Eli",3.7,0%,2
"Jafari, Sheherazade",5.0,100%,3
"Kritz, Brian",4.4,100%,4
